Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.812500,5.812500,5.562500,5.687500,3.620543,7436400
1997-10-17,5.656250,5.750000,5.406250,5.593750,3.560863,3390400
1997-10-20,5.500000,5.625000,5.468750,5.531250,3.521078,3068000
1997-10-21,5.562500,5.687500,5.500000,5.593750,3.560863,2382400
1997-10-22,5.687500,5.750000,5.593750,5.718750,3.640437,1525200
1997-10-23,5.687500,5.687500,5.531250,5.593750,3.560863,1622400
1997-10-24,5.656250,5.718750,5.562500,5.718750,3.640437,813600
1997-10-27,5.656250,5.750000,5.375000,5.421875,3.451452,1507200
1997-10-28,5.250000,5.687500,4.937500,5.593750,3.560863,2955600
1997-10-29,5.687500,5.718750,5.593750,5.656250,3.600649,1859200
1997-10-30,5.531250,5.562500,5.375000,5.500000,3.501184,856000
1997-10-31,5.437500,5.640625,5.437500,5.500000,3.501184,561600
1997-11-03,5.625000,5.843750,5.531250,5.734375,3.650383,1004000
1997-11-04,5.750000,5.875000,5.687500,5.781250,3.680223,364000
1997-11-05,5.812500,6.062500,5.781250,5.906250,3.759794,324400
1997-11-06,5.875000,6.250000,5.875000,6.250000,3.978618,361600
1997-11-07,6.187500,6.625000,6.031250,6.437500,4.097978,662400
1997-11-10,6.312500,6.500000,6.156250,6.156250,3.918940,266800
1997-11-11,5.937500,6.000000,5.750000,6.000000,3.819474,618000
1997-11-12,6.000000,6.000000,5.562500,5.687500,3.620543,314800
1997-11-13,5.562500,5.625000,5.468750,5.500000,3.501184,500000
1997-11-14,5.437500,5.500000,5.312500,5.437500,3.461399,438000
1997-11-17,5.500000,5.843750,5.500000,5.812500,3.700118,284000
1997-11-18,5.875000,5.875000,5.687500,5.718750,3.640437,1429600
1997-11-19,5.718750,5.812500,5.562500,5.562500,3.540972,148400
1997-11-20,5.625000,5.625000,5.312500,5.562500,3.540972,1268000
1997-11-21,5.562500,5.625000,5.500000,5.531250,3.521078,640800
1997-11-24,5.500000,5.593750,5.500000,5.531250,3.521078,64400
1997-11-25,5.562500,5.625000,5.500000,5.515625,3.511132,326800
