Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.131273,0.131273,0.124177,0.124177,0.043491,2480333
1962-01-03,0.124177,0.124177,0.121516,0.122846,0.043025,507341
1962-01-04,0.122846,0.126838,0.117968,0.120185,0.042093,845568
1962-01-05,0.119742,0.119742,0.117525,0.117525,0.041162,338227
1962-01-08,0.117525,0.119299,0.115307,0.119299,0.041783,873754
1962-01-09,0.119299,0.124177,0.117968,0.121072,0.042404,930125
1962-01-10,0.121072,0.121959,0.119299,0.121959,0.042715,450970
1962-01-11,0.121959,0.122403,0.120629,0.121516,0.042559,422784
1962-01-12,0.121516,0.123290,0.120629,0.120629,0.042249,535526
1962-01-15,0.120629,0.121072,0.118855,0.118855,0.041628,310042
1962-01-16,0.118855,0.118855,0.117081,0.117525,0.041162,197299
1962-01-17,0.117525,0.119299,0.117081,0.117081,0.041006,422784
1962-01-18,0.117081,0.117081,0.115751,0.116638,0.040851,479155
1962-01-19,0.117968,0.124177,0.117968,0.123290,0.043181,1409280
1962-01-22,0.123290,0.126394,0.122846,0.124177,0.043491,563712
1962-01-23,0.124177,0.127725,0.122403,0.122403,0.042870,817382
1962-01-24,0.121516,0.121516,0.118855,0.120629,0.042249,338227
1962-01-25,0.120629,0.122403,0.119742,0.120629,0.042249,817382
1962-01-26,0.120629,0.121516,0.120185,0.120629,0.042249,1381094
1962-01-29,0.119742,0.119742,0.117968,0.117968,0.041317,197299
1962-01-30,0.117968,0.119299,0.117525,0.119299,0.041783,197299
1962-01-31,0.121072,0.121072,0.118855,0.121072,0.042404,563712
1962-02-01,0.121072,0.122846,0.119299,0.119299,0.041783,535526
1962-02-02,0.119299,0.119299,0.118855,0.119299,0.041783,140928
1962-02-05,0.119299,0.121072,0.117968,0.117968,0.041317,676454
1962-02-06,0.117968,0.118412,0.117081,0.118412,0.041472,563712
1962-02-07,0.118412,0.118412,0.115751,0.115751,0.040540,535526
1962-02-08,0.115751,0.117081,0.115307,0.115307,0.040385,732826
1962-02-09,0.115751,0.116638,0.115751,0.116194,0.040696,366413
1962-02-12,0.116194,0.118412,0.115751,0.117081,0.041006,310042
1962-02-13,0.117081,0.117081,0.114420,0.114420,0.040074,197299
1962-02-14,0.114420,0.115751,0.113533,0.113533,0.039764,394598
1962-02-15,0.112646,0.112646,0.109985,0.111316,0.038987,817382
1962-02-16,0.111316,0.113090,0.110429,0.112646,0.039453,620083
1962-02-19,0.112646,0.113977,0.112646,0.113090,0.039608,591898
1962-02-20,0.113090,0.114420,0.113090,0.113977,0.039919,873754
1962-02-21,0.113977,0.116194,0.113533,0.115751,0.040540,56371
1962-02-23,0.115751,0.116638,0.114864,0.116194,0.040696,704640
1962-02-26,0.116194,0.118855,0.115307,0.117968,0.041317,845568
1962-02-27,0.117968,0.119299,0.117968,0.118855,0.041628,676454
1962-02-28,0.118855,0.119299,0.117968,0.117968,0.041317,450970
1962-03-01,0.117968,0.118855,0.117968,0.118855,0.041628,225485
1962-03-02,0.118855,0.118855,0.117968,0.118412,0.041472,845568
1962-03-05,0.118412,0.118855,0.116638,0.117081,0.041006,1155610
1962-03-06,0.117081,0.117081,0.116638,0.117081,0.041006,648269
1962-03-07,0.117081,0.117081,0.115307,0.116638,0.040851,1014682
1962-03-08,0.117525,0.119299,0.117525,0.119299,0.041783,479155
1962-03-09,0.119742,0.121516,0.119742,0.121516,0.042559,648269
1962-03-12,0.121516,0.123290,0.121072,0.121072,0.042404,366413
1962-03-13,0.121072,0.122403,0.121072,0.121072,0.042404,450970
1962-03-14,0.121072,0.121516,0.118855,0.118855,0.041628,535526
1962-03-15,0.118855,0.120629,0.117968,0.118412,0.041472,930125
1962-03-16,0.118855,0.120629,0.118855,0.120629,0.042249,648269
1962-03-19,0.120629,0.121516,0.120629,0.121516,0.042559,479155
1962-03-20,0.121072,0.121072,0.120629,0.120629,0.042249,338227
1962-03-21,0.120629,0.120629,0.120185,0.120629,0.042249,1296538
1962-03-22,0.121072,0.121072,0.121072,0.121072,0.042404,732826
1962-03-23,0.121072,0.125507,0.121072,0.123290,0.043181,2593075
1962-03-26,0.123290,0.123290,0.121072,0.121072,0.042404,450970
1962-03-27,0.120629,0.120629,0.117525,0.119742,0.041938,761011
1962-03-28,0.119742,0.121516,0.119742,0.121072,0.042404,648269
1962-03-29,0.121072,0.122403,0.121072,0.121072,0.042404,563712
1962-03-30,0.121072,0.121516,0.117525,0.119742,0.041938,1042867
1962-04-02,0.119742,0.119742,0.118855,0.119742,0.041938,817382
1962-04-03,0.119742,0.119742,0.114864,0.115307,0.040385,1127424
1962-04-04,0.114420,0.114420,0.109985,0.109985,0.038521,789197
1962-04-05,0.109985,0.111759,0.108655,0.111316,0.038987,901939
1962-04-06,0.111316,0.113533,0.109098,0.109985,0.038521,2987674
1962-04-09,0.109542,0.109542,0.107768,0.108655,0.038055,1155610
1962-04-10,0.109985,0.112646,0.109985,0.111759,0.039142,1719322
1962-04-11,0.111759,0.113090,0.110872,0.111316,0.038987,986496
1962-04-12,0.111316,0.111759,0.110872,0.110872,0.038832,422784
1962-04-13,0.109098,0.109098,0.106437,0.109098,0.038210,2254848
1962-04-16,0.109098,0.109098,0.105107,0.105550,0.036968,1634765
1962-04-17,0.105550,0.105994,0.104663,0.105550,0.036968,620083
1962-04-18,0.105550,0.105994,0.104663,0.104663,0.036657,1522022
1962-04-19,0.102889,0.102889,0.100672,0.101559,0.035570,1437466
1962-04-23,0.102002,0.105994,0.102002,0.105550,0.036968,845568
1962-04-24,0.105550,0.107324,0.105107,0.105994,0.037123,620083
1962-04-25,0.105994,0.106881,0.103333,0.104663,0.036657,789197
1962-04-26,0.103333,0.103333,0.102002,0.102002,0.035725,873754
1962-04-27,0.099342,0.099342,0.096681,0.096681,0.033861,1662950
1962-04-30,0.096681,0.100228,0.094463,0.094463,0.033084,1099238
1962-05-01,0.094463,0.097568,0.093576,0.097124,0.034016,986496
1962-05-02,0.097124,0.098011,0.096237,0.096681,0.033861,873754
1962-05-03,0.096681,0.098898,0.094907,0.098898,0.034638,873754
1962-05-04,0.098898,0.098898,0.096681,0.097124,0.034016,1071053
1962-05-07,0.097124,0.097124,0.093576,0.094463,0.033084,450970
1962-05-08,0.094463,0.094907,0.094020,0.094463,0.033084,535526
1962-05-09,0.094463,0.094463,0.092689,0.092689,0.032463,873754
1962-05-10,0.092689,0.092689,0.086037,0.087367,0.030599,1099238
1962-05-11,0.087367,0.089585,0.086480,0.086480,0.030289,1522022
1962-05-14,0.086480,0.092246,0.083376,0.092246,0.032308,1747507
1962-05-15,0.092246,0.094907,0.090028,0.092246,0.032308,1014682
1962-05-16,0.093133,0.094907,0.093133,0.094463,0.033084,873754
1962-05-17,0.094463,0.095794,0.094020,0.095794,0.033551,394598
1962-05-18,0.095350,0.095350,0.094020,0.094463,0.033084,394598
1962-05-21,0.095350,0.095350,0.095350,0.095350,0.033395,563712
1962-05-22,0.094907,0.094907,0.092246,0.092246,0.032308,2029363
1962-05-23,0.092246,0.092246,0.089141,0.090028,0.031531,1944806
1962-05-24,0.090028,0.090915,0.086924,0.088254,0.030910,2536704
1962-05-25,0.088254,0.088254,0.082045,0.084706,0.029667,1944806
1962-05-28,0.084706,0.086037,0.075393,0.076724,0.026872,2395776
1962-05-29,0.076724,0.085150,0.071402,0.084263,0.029512,6510874
1962-05-31,0.084263,0.086924,0.082932,0.086037,0.030133,2508518
1962-06-01,0.084706,0.084706,0.081602,0.083819,0.029357,1888435
