Date,Open,High,Low,Close,Adj Close,Volume
1996-02-01,2.966614,2.966614,2.920974,2.943794,1.271373,13718164
1996-02-02,2.943794,2.966614,2.920974,2.966614,1.281228,3828860
1996-02-05,2.966614,2.966614,2.920974,2.920974,1.261517,908190
1996-02-06,2.920974,2.966614,2.920974,2.920974,1.261517,509419
1996-02-07,2.920974,2.966614,2.920974,2.920974,1.261517,366453
1996-02-08,2.920974,2.966614,2.920974,2.920974,1.261517,794803
1996-02-09,2.920974,2.966614,2.920974,2.920974,1.261517,515992
1996-02-12,2.920974,2.966614,2.920974,2.920974,1.261517,351664
1996-02-13,2.920974,2.966614,2.920974,2.920974,1.261517,216914
1996-02-14,2.920974,2.966614,2.920974,2.920974,1.261517,460121
1996-02-15,2.920974,2.920974,2.920974,2.920974,1.261517,250875
1996-02-16,2.920974,2.966614,2.875334,2.875334,1.241806,491891
1996-02-20,2.875334,2.920974,2.647133,2.647133,1.143250,769606
1996-02-21,2.647133,2.738413,2.647133,2.647133,1.143250,581176
1996-02-22,2.647133,2.738413,2.647133,2.647133,1.143250,251971
1996-02-23,2.647133,2.738413,2.647133,2.692773,1.162961,486413
1996-02-26,2.738413,2.829694,2.692773,2.784053,1.202383,218557
1996-02-27,2.784053,2.875334,2.784053,2.875334,1.241806,1286146
1996-02-28,2.829694,2.875334,2.784053,2.829694,1.222095,219105
1996-02-29,2.875334,2.920974,2.829694,2.898154,1.251661,289219
1996-03-01,2.875334,2.920974,2.875334,2.920974,1.261517,528591
1996-03-04,2.875334,2.920974,2.875334,2.875334,1.241806,477649
1996-03-05,2.875334,2.920974,2.875334,2.875334,1.241806,175284
1996-03-06,2.875334,2.875334,2.738413,2.738413,1.182672,1273548
1996-03-07,2.738413,2.829694,2.738413,2.761233,1.192528,612946
1996-03-08,2.738413,2.784053,2.601492,2.601492,1.123538,657315
1996-03-11,2.692773,2.692773,2.601492,2.647133,1.143250,346186
1996-03-12,2.647133,2.738413,2.647133,2.738413,1.182672,297435
1996-03-13,2.647133,2.738413,2.647133,2.738413,1.182672,135845
1996-03-14,2.715593,2.738413,2.647133,2.647133,1.143250,405892
1996-03-15,2.647133,2.692773,2.647133,2.647133,1.143250,58063
1996-03-18,2.647133,2.784053,2.647133,2.647133,1.143250,278263
1996-03-19,2.647133,2.784053,2.647133,2.784053,1.202383,21911
1996-03-20,2.784053,2.784053,2.601492,2.647133,1.143250,1378170
1996-03-21,2.601492,2.692773,2.601492,2.692773,1.162961,24102
1996-03-22,2.601492,2.669953,2.601492,2.601492,1.123538,72305
1996-03-25,2.692773,2.692773,2.510212,2.510212,1.084116,204315
1996-03-26,2.510212,2.601492,2.510212,2.510212,1.084116,1286146
1996-03-27,2.601492,2.601492,2.510212,2.601492,1.123538,119960
1996-03-28,2.555852,2.738413,2.555852,2.647133,1.143250,1144824
1996-03-29,2.738413,2.784053,2.647133,2.784053,1.202383,53133
1996-04-01,2.784053,2.920974,2.784053,2.829694,1.222095,124342
1996-04-02,2.829694,2.875334,2.829694,2.829694,1.222095,59706
1996-04-03,2.829694,2.875334,2.829694,2.829694,1.222095,78330
1996-04-04,2.829694,2.875334,2.829694,2.829694,1.222095,46012
1996-04-08,2.784053,2.829694,2.784053,2.784053,1.202383,61897
1996-04-09,2.829694,2.829694,2.647133,2.715593,1.172817,72305
1996-04-10,2.647133,2.738413,2.647133,2.647133,1.143250,33414
1996-04-11,2.669953,2.738413,2.647133,2.738413,1.182672,182405
1996-04-12,2.738413,2.738413,2.647133,2.692773,1.162961,69566
1996-04-15,2.647133,2.692773,2.647133,2.669953,1.153106,343447
1996-04-16,2.647133,2.738413,2.647133,2.738413,1.182672,85451
1996-04-17,2.738413,2.738413,2.647133,2.647133,1.143250,110648
1996-04-18,2.647133,2.715593,2.647133,2.647133,1.143250,409179
1996-04-19,2.647133,2.738413,2.647133,2.715593,1.172817,162685
1996-04-22,2.647133,2.738413,2.647133,2.738413,1.182672,122699
1996-04-23,2.738413,2.738413,2.647133,2.647133,1.143250,28484
1996-04-24,2.647133,2.738413,2.647133,2.738413,1.182672,81069
1996-04-25,2.647133,2.738413,2.647133,2.738413,1.182672,30675
1996-04-26,2.738413,2.738413,2.647133,2.647133,1.143250,20267
1996-04-29,2.647133,2.784053,2.647133,2.692773,1.162961,53681
1996-04-30,2.738413,3.057895,2.738413,3.057895,1.320651,417943
1996-05-01,3.012254,3.057895,2.920974,2.920974,1.261517,419586
1996-05-02,3.057895,3.057895,2.920974,2.920974,1.261517,469980
1996-05-03,2.920974,3.057895,2.920974,3.012254,1.300939,251423
1996-05-06,3.057895,3.057895,2.920974,3.057895,1.320651,188978
1996-05-07,3.012254,3.057895,2.920974,2.920974,1.261517,357689
1996-05-08,2.920974,3.057895,2.920974,3.057895,1.320651,278811
1996-05-09,2.966614,3.057895,2.966614,2.966614,1.281228,149539
