Date,Open,High,Low,Close,Adj Close,Volume
1991-11-22,4.444444,4.472222,4.416667,4.444444,0.872518,6522750
1991-11-25,4.444444,4.444444,4.416667,4.444444,0.872518,868950
1991-11-26,4.444444,4.444444,4.444444,4.444444,0.872518,165150
1991-11-27,4.444444,4.444444,4.416667,4.444444,0.872518,93600
1991-11-29,4.444444,4.444444,4.416667,4.444444,0.872518,151650
1991-12-02,4.444444,4.444444,4.388889,4.416667,0.867065,420300
1991-12-03,4.416667,4.444444,4.388889,4.416667,0.867065,154800
1991-12-04,4.444444,4.444444,4.416667,4.416667,0.867065,189450
1991-12-05,4.416667,4.416667,4.416667,4.416667,0.867065,173700
1991-12-06,4.416667,4.416667,4.388889,4.388889,0.861612,270450
1991-12-09,4.388889,4.416667,4.388889,4.388889,0.861612,54450
1991-12-10,4.388889,4.416667,4.388889,4.388889,0.861612,177750
1991-12-11,4.333333,4.388889,4.277778,4.388889,0.861612,302850
1991-12-12,4.388889,4.388889,4.361111,4.388889,0.861612,72900
1991-12-13,4.388889,4.416667,4.388889,4.388889,0.861612,157950
1991-12-16,4.416667,4.416667,4.388889,4.388889,0.861612,49500
1991-12-17,4.416667,4.416667,4.388889,4.416667,0.867065,63450
1991-12-18,4.416667,4.416667,4.388889,4.416667,0.867065,24300
1991-12-19,4.388889,4.444444,4.388889,4.444444,0.872518,62100
1991-12-20,4.444444,4.472222,4.444444,4.444444,0.872518,137700
1991-12-23,4.444444,4.555556,4.444444,4.555556,0.894331,158850
1991-12-24,4.555556,4.555556,4.500000,4.527778,0.888878,62550
1991-12-26,4.555556,4.638889,4.555556,4.611111,0.905238,83700
1991-12-27,4.611111,4.611111,4.555556,4.583333,0.899784,183150
1991-12-30,4.611111,4.611111,4.583333,4.583333,0.899784,101700
1991-12-31,4.611111,4.777778,4.611111,4.777778,0.937957,126000
1992-01-02,4.750000,4.833333,4.694444,4.777778,0.937957,173250
1992-01-03,4.777778,4.861111,4.777778,4.805556,0.943410,215100
1992-01-06,4.833333,5.000000,4.833333,4.916667,0.965224,198000
1992-01-07,4.916667,5.027778,4.916667,4.944444,0.970676,434250
1992-01-08,4.944444,4.972222,4.916667,4.944444,0.970676,131850
1992-01-09,4.944444,4.944444,4.916667,4.916667,0.965224,149400
1992-01-10,4.916667,5.000000,4.916667,5.000000,0.981583,184500
1992-01-13,4.972222,5.027778,4.972222,5.000000,0.981583,92700
1992-01-14,5.000000,5.083333,5.000000,5.083333,0.997943,153000
1992-01-15,5.055556,5.138889,5.055556,5.138889,1.008849,106200
1992-01-16,5.194444,5.222222,5.138889,5.138889,1.008849,73350
1992-01-17,5.111111,5.166667,5.111111,5.166667,1.014303,116100
1992-01-20,5.166667,5.194444,5.138889,5.138889,1.008849,60300
1992-01-21,5.138889,5.194444,5.138889,5.166667,1.014303,37800
1992-01-22,5.138889,5.194444,5.138889,5.166667,1.014303,36000
1992-01-23,5.138889,5.194444,5.138889,5.166667,1.014303,50850
1992-01-24,5.138889,5.194444,5.111111,5.166667,1.021242,44100
1992-01-27,5.166667,5.166667,5.111111,5.138889,1.015752,35550
1992-01-28,5.194444,5.194444,5.138889,5.194444,1.026733,31500
1992-01-29,5.277778,5.361111,5.222222,5.222222,1.032223,222750
1992-01-30,5.222222,5.250000,5.222222,5.250000,1.037714,224550
1992-01-31,5.222222,5.277778,5.222222,5.250000,1.037714,32850
1992-02-03,5.250000,5.333333,5.222222,5.277778,1.043204,148500
1992-02-04,5.277778,5.416667,5.277778,5.333333,1.054186,55800
1992-02-05,5.333333,5.388889,5.333333,5.388889,1.065167,30600
1992-02-06,5.388889,5.472222,5.388889,5.388889,1.065167,129150
1992-02-07,5.388889,5.472222,5.388889,5.444444,1.076149,152550
1992-02-10,5.444444,5.500000,5.416667,5.444444,1.076149,49500
1992-02-11,5.500000,5.500000,5.416667,5.416667,1.070657,37800
1992-02-12,5.388889,5.416667,5.361111,5.416667,1.070657,321300
1992-02-13,5.388889,5.388889,5.333333,5.361111,1.059676,263700
1992-02-14,5.333333,5.361111,5.333333,5.361111,1.059676,41400
1992-02-18,5.388889,5.388889,5.333333,5.333333,1.054186,26100
1992-02-19,5.333333,5.333333,5.305556,5.305556,1.048695,36450
1992-02-20,5.250000,5.305556,5.250000,5.277778,1.043204,138600
1992-02-21,5.250000,5.277778,5.250000,5.277778,1.043204,4950
1992-02-24,5.277778,5.305556,5.277778,5.305556,1.048695,117000
1992-02-25,5.305556,5.333333,5.277778,5.333333,1.054186,65700
1992-02-26,5.305556,5.305556,5.277778,5.277778,1.043204,101250
1992-02-27,5.333333,5.388889,5.333333,5.388889,1.065167,96750
1992-02-28,5.361111,5.361111,5.333333,5.333333,1.054186,5850
1992-03-02,5.388889,5.472222,5.388889,5.472222,1.081638,162450
1992-03-03,5.527778,5.638889,5.527778,5.555556,1.098110,96300
1992-03-04,5.583333,5.638889,5.555556,5.583333,1.103600,43650
1992-03-05,5.555556,5.583333,5.444444,5.444444,1.076149,31950
1992-03-06,5.472222,5.472222,5.333333,5.361111,1.059676,174150
1992-03-09,5.361111,5.527778,5.361111,5.444444,1.076149,29700
1992-03-10,5.472222,5.472222,5.388889,5.388889,1.065167,503550
1992-03-11,5.416667,5.416667,5.388889,5.388889,1.065167,13500
1992-03-12,5.444444,5.444444,5.361111,5.361111,1.059676,23400
1992-03-13,5.361111,5.416667,5.361111,5.416667,1.070657,311400
1992-03-16,5.388889,5.388889,5.361111,5.361111,1.059676,36000
1992-03-17,5.361111,5.361111,5.305556,5.333333,1.054186,46800
1992-03-18,5.333333,5.361111,5.333333,5.333333,1.054186,79200
1992-03-19,5.388889,5.388889,5.361111,5.388889,1.065167,16200
1992-03-20,5.388889,5.388889,5.333333,5.333333,1.054186,28350
1992-03-23,5.333333,5.361111,5.333333,5.361111,1.059676,16200
1992-03-24,5.333333,5.361111,5.277778,5.277778,1.043204,204750
1992-03-25,5.333333,5.333333,5.222222,5.250000,1.037714,63900
1992-03-26,5.222222,5.250000,5.222222,5.222222,1.032223,7200
1992-03-27,5.222222,5.222222,5.222222,5.222222,1.032223,40500
1992-03-30,5.222222,5.222222,5.194444,5.222222,1.032223,9450
1992-03-31,5.194444,5.250000,5.194444,5.250000,1.037714,56700
1992-04-01,5.222222,5.250000,5.222222,5.222222,1.032223,147600
1992-04-02,5.222222,5.222222,5.194444,5.194444,1.026733,120600
1992-04-03,5.222222,5.222222,5.194444,5.194444,1.026733,2250
1992-04-06,5.222222,5.222222,5.166667,5.166667,1.021242,46800
1992-04-07,5.194444,5.194444,5.055556,5.055556,0.999280,55800
1992-04-08,5.027778,5.055556,4.916667,5.000000,0.988299,65700
1992-04-09,4.972222,5.027778,4.944444,4.944444,0.977318,108900
1992-04-10,4.944444,4.972222,4.916667,4.972222,0.982809,174150
1992-04-13,4.972222,5.055556,4.944444,5.027778,0.993789,219600
1992-04-14,5.083333,5.111111,5.083333,5.111111,1.010261,115650
1992-04-15,5.138889,5.166667,5.138889,5.166667,1.021242,99900
