Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,10.400000,9.966667,10.266667,6.121859,519375
1980-03-18,0.000000,10.533333,9.500000,10.533333,6.280870,659250
1980-03-19,0.000000,10.833333,10.333333,10.766667,6.420003,408000
1980-03-20,0.000000,11.000000,10.566667,10.800000,6.439877,607125
1980-03-21,0.000000,10.833333,10.333333,10.666667,6.360373,229125
1980-03-24,0.000000,10.600000,9.833333,9.933333,5.923102,256875
1980-03-25,0.000000,10.100000,9.700000,10.066667,6.002601,315750
1980-03-26,0.000000,10.166667,9.866667,9.866667,5.883347,315000
1980-03-27,0.000000,9.766667,8.700000,9.333333,5.565325,609000
1980-03-28,0.000000,10.000000,9.333333,10.000000,5.962850,277125
1980-03-31,0.000000,10.533333,10.133333,10.233333,6.101985,419250
1980-04-01,0.000000,10.333333,9.966667,9.966667,5.942975,162750
1980-04-02,0.000000,9.600000,9.400000,9.533333,5.684583,419250
1980-04-03,0.000000,9.533333,9.166667,9.200000,5.485825,352500
1980-04-07,0.000000,9.166667,9.000000,9.066667,5.406319,187500
1980-04-08,0.000000,9.666667,9.000000,9.666667,5.764087,624375
1980-04-09,0.000000,10.133333,9.933333,10.000000,5.962850,207375
1980-04-10,0.000000,10.166667,9.766667,9.866667,5.883347,176250
1980-04-11,0.000000,9.866667,9.400000,9.466667,5.644831,222375
1980-04-14,0.000000,9.566667,9.366667,9.400000,5.605080,558750
1980-04-15,0.000000,9.366667,9.100000,9.100000,5.426193,106500
1980-04-16,0.000000,9.200000,8.733333,8.733333,5.207554,121125
1980-04-17,0.000000,8.700000,8.533333,8.566667,5.108176,173625
1980-04-18,0.000000,8.666667,8.466667,8.566667,5.108176,228000
1980-04-21,0.000000,8.766667,8.533333,8.533333,5.088298,127875
1980-04-22,0.000000,9.133333,8.800000,9.133333,5.446072,196500
1980-04-23,0.000000,9.466667,9.033333,9.366667,5.585202,178875
1980-04-24,0.000000,9.733333,9.266667,9.533333,5.684583,229125
1980-04-25,0.000000,9.933333,9.466667,9.600000,5.724336,325875
1980-04-28,0.000000,9.700000,9.333333,9.333333,5.565325,151875
1980-04-29,0.000000,9.466667,9.366667,9.366667,5.585202,126750
1980-04-30,0.000000,9.433333,9.333333,9.433333,5.624958,63000
1980-05-01,0.000000,9.433333,8.800000,8.800000,5.247309,157500
