Date,Open,High,Low,Close,Adj Close,Volume
1982-06-02,4.805556,4.875000,4.736111,4.763889,1.492280,1081800
1982-06-03,4.736111,4.763889,4.694444,4.694444,1.470527,672300
1982-06-04,4.638889,4.680556,4.583333,4.597222,1.440073,828900
1982-06-07,4.638889,4.694444,4.583333,4.666667,1.461826,287100
1982-06-08,4.638889,4.680556,4.597222,4.597222,1.440073,330300
1982-06-09,4.611111,4.638889,4.583333,4.597222,1.440073,841500
1982-06-10,4.597222,4.611111,4.583333,4.597222,1.440073,591300
1982-06-11,4.638889,4.680556,4.583333,4.625000,1.448774,1161000
1982-06-14,4.611111,4.625000,4.583333,4.583333,1.435722,498600
1982-06-15,4.611111,4.638889,4.583333,4.611111,1.444424,666900
1982-06-16,4.611111,4.638889,4.583333,4.611111,1.444424,239400
1982-06-17,4.555556,4.611111,4.486111,4.513889,1.413968,937800
1982-06-18,4.513889,4.555556,4.472222,4.513889,1.413968,1577700
1982-06-21,4.541667,4.569444,4.513889,4.569444,1.431371,1314000
1982-06-22,4.638889,4.722222,4.555556,4.722222,1.479229,702000
1982-06-23,4.875000,5.000000,4.736111,5.000000,1.566243,765000
1982-06-24,4.916667,4.972222,4.861111,4.916667,1.540139,720900
1982-06-25,4.930556,4.944444,4.902778,4.930556,1.544490,189000
1982-06-28,4.958333,5.000000,4.916667,4.944444,1.548839,223200
1982-06-29,5.013889,5.055556,4.958333,5.027778,1.574944,670500
1982-06-30,5.055556,5.069444,5.027778,5.055556,1.583646,1296000
1982-07-01,5.055556,5.083333,5.013889,5.055556,1.583646,903600
1982-07-02,5.111111,5.180556,5.027778,5.166667,1.618451,378900
1982-07-06,5.166667,5.208333,5.125000,5.166667,1.618451,527400
1982-07-07,5.111111,5.152778,5.055556,5.125000,1.605399,566100
1982-07-08,5.041667,5.138889,4.944444,5.041667,1.579294,641700
1982-07-09,5.013889,5.055556,4.958333,5.000000,1.566243,361800
1982-07-12,4.972222,5.000000,4.944444,4.986111,1.561892,921600
1982-07-13,4.986111,5.027778,4.944444,5.000000,1.566243,1000800
1982-07-14,4.958333,5.000000,4.944444,4.986111,1.561892,921600
1982-07-15,4.930556,5.027778,4.819444,4.819444,1.509683,684000
1982-07-16,4.819444,4.888889,4.750000,4.805556,1.505333,2254500
1982-07-19,4.777778,4.833333,4.722222,4.750000,1.487931,1497600
1982-07-20,4.819444,4.888889,4.750000,4.875000,1.527086,427500
1982-07-21,4.944444,5.000000,4.875000,4.930556,1.544490,549000
1982-07-22,4.958333,5.000000,4.902778,4.972222,1.557541,973800
1982-07-23,5.097222,5.166667,5.027778,5.125000,1.605399,341100
1982-07-26,5.055556,5.069444,5.027778,5.041667,1.579294,411300
1982-07-27,5.055556,5.069444,5.027778,5.041667,1.579294,1046700
1982-07-28,5.041667,5.069444,5.013889,5.027778,1.574944,781200
1982-07-29,5.041667,5.055556,5.013889,5.027778,1.574944,727200
1982-07-30,5.013889,5.055556,4.972222,5.041667,1.579294,1313100
1982-08-02,5.027778,5.097222,4.958333,5.069444,1.612877,1115100
1982-08-03,5.069444,5.097222,5.041667,5.055556,1.608459,1321200
1982-08-04,5.000000,5.027778,4.958333,4.986111,1.586365,638100
1982-08-05,4.875000,4.972222,4.763889,4.819444,1.533338,819900
1982-08-06,4.847222,4.875000,4.819444,4.833333,1.537758,691200
1982-08-09,4.833333,4.861111,4.805556,4.861111,1.546595,567000
1982-08-10,4.861111,4.888889,4.833333,4.875000,1.551014,463500
1982-08-11,4.888889,4.916667,4.861111,4.902778,1.559852,248400
1982-08-12,4.888889,4.916667,4.861111,4.888889,1.555433,338400
1982-08-13,4.958333,5.027778,4.875000,5.027778,1.599622,688500
1982-08-16,5.055556,5.083333,5.013889,5.055556,1.608459,940500
1982-08-17,5.166667,5.250000,5.069444,5.250000,1.670323,1505700
1982-08-18,5.333333,5.416667,5.250000,5.263889,1.674742,2105100
1982-08-19,5.319444,5.361111,5.277778,5.305556,1.687999,1035000
1982-08-20,5.319444,5.347222,5.291667,5.347222,1.701254,1650600
1982-08-23,5.500000,5.666667,5.333333,5.583333,1.776375,1472400
