Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,12.000000,12.187500,12.000000,12.000000,6.185912,11192000
2000-01-31,12.000000,12.062500,12.000000,12.062500,6.218128,1880900
2000-02-01,12.000000,12.062500,12.000000,12.000000,6.185912,367100
2000-02-02,12.000000,12.062500,12.000000,12.062500,6.218128,697400
2000-02-03,12.000000,12.062500,12.000000,12.000000,6.185912,579800
2000-02-04,12.000000,12.062500,11.250000,11.375000,5.863729,1681900
2000-02-07,11.125000,11.125000,10.500000,10.812500,5.573763,927200
2000-02-08,10.750000,10.875000,9.750000,9.875000,5.090490,795400
2000-02-09,9.875000,10.250000,9.750000,10.125000,5.219362,1710100
2000-02-10,10.500000,11.250000,10.437500,10.625000,5.477109,571500
2000-02-11,10.750000,10.937500,10.000000,10.062500,5.187144,1062000
2000-02-14,10.187500,10.312500,9.750000,9.812500,5.058270,289000
2000-02-15,10.000000,10.625000,9.937500,10.437500,5.380454,541400
2000-02-16,10.562500,10.625000,10.250000,10.562500,5.444891,360700
2000-02-17,10.875000,10.875000,10.250000,10.375000,5.348235,291600
2000-02-18,10.500000,10.750000,10.312500,10.500000,5.412673,330700
2000-02-22,10.250000,10.625000,9.875000,10.312500,5.316016,314500
2000-02-23,9.937500,10.312500,9.812500,10.125000,5.219362,494300
2000-02-24,10.125000,10.312500,9.875000,9.937500,5.122707,919900
2000-02-25,10.312500,10.625000,10.000000,10.437500,5.380454,1095500
2000-02-28,10.250000,10.312500,10.000000,10.125000,5.219362,366800
2000-02-29,10.125000,11.250000,10.000000,10.875000,5.605982,1652500
2000-03-01,10.875000,11.250000,10.875000,11.000000,5.670418,266700
2000-03-02,10.875000,11.937500,10.812500,11.500000,5.928165,890300
2000-03-03,11.500000,11.500000,10.875000,10.937500,5.638200,160300
2000-03-06,10.500000,10.812500,10.375000,10.750000,5.541545,242800
2000-03-07,10.625000,10.750000,10.062500,10.250000,5.283800,393500
2000-03-08,10.187500,10.500000,9.875000,10.375000,5.348235,424200
2000-03-09,10.312500,10.812500,10.250000,10.500000,5.412673,310100
2000-03-10,10.500000,10.500000,10.000000,10.250000,5.283800,168900
2000-03-13,10.000000,10.125000,9.562500,9.750000,5.026051,1767400
2000-03-14,9.750000,10.125000,9.750000,9.875000,5.090490,660500
2000-03-15,9.875000,9.875000,9.250000,9.625000,4.961617,1231100
2000-03-16,9.812500,10.250000,9.500000,9.750000,5.026051,404100
2000-03-17,9.750000,9.937500,9.250000,9.562500,4.929395,814800
2000-03-20,9.687500,9.875000,9.500000,9.625000,4.961617,473200
2000-03-21,9.562500,9.812500,9.500000,9.625000,4.961617,176200
2000-03-22,9.625000,9.750000,9.500000,9.562500,4.929395,430300
2000-03-23,9.500000,9.812500,9.500000,9.687500,4.993834,477400
2000-03-24,9.562500,9.875000,9.562500,9.750000,5.026051,236700
2000-03-27,9.750000,10.000000,9.750000,9.875000,5.090490,67600
2000-03-28,9.875000,10.000000,9.750000,9.812500,5.058270,157900
2000-03-29,9.812500,9.937500,9.812500,9.812500,5.058270,253000
2000-03-30,9.812500,10.125000,9.812500,9.812500,5.058270,235200
2000-03-31,9.812500,10.500000,9.750000,10.500000,5.412673,627300
2000-04-03,10.375000,10.375000,10.062500,10.312500,5.316016,108400
2000-04-04,10.375000,10.375000,10.000000,10.062500,5.187144,411000
2000-04-05,9.937500,10.375000,9.875000,10.250000,5.283800,196100
2000-04-06,10.250000,11.125000,10.125000,10.812500,5.573763,296700
2000-04-07,10.500000,10.625000,10.250000,10.500000,5.412673,262800
2000-04-10,10.500000,10.750000,10.250000,10.312500,5.316016,139400
2000-04-11,10.250000,10.625000,10.250000,10.562500,5.444891,315000
2000-04-12,10.562500,11.000000,10.562500,10.812500,5.573763,392000
2000-04-13,10.687500,10.812500,10.625000,10.625000,5.477109,243200
2000-04-14,10.500000,10.625000,10.000000,10.125000,5.219362,269900
2000-04-17,10.000000,10.375000,10.000000,10.375000,5.348235,321300
2000-04-18,10.375000,10.812500,10.250000,10.625000,5.477109,862200
2000-04-19,10.500000,11.250000,10.500000,10.937500,5.638200,531900
2000-04-20,10.937500,11.000000,10.625000,10.625000,5.477109,193500
2000-04-24,10.750000,11.375000,10.750000,10.875000,5.605982,355700
2000-04-25,11.062500,11.562500,11.000000,11.250000,5.799291,621900
2000-04-26,11.250000,11.375000,11.000000,11.000000,5.670418,391800
2000-04-27,11.000000,11.250000,10.812500,10.812500,5.573763,246300
2000-04-28,11.125000,11.875000,11.000000,11.875000,6.121472,284100
2000-05-01,11.750000,11.937500,11.375000,11.625000,5.992602,138900
2000-05-02,11.875000,11.875000,11.562500,11.750000,6.057037,159200
2000-05-03,11.625000,11.687500,11.500000,11.562500,5.960383,105600
2000-05-04,11.562500,11.750000,11.500000,11.750000,6.057037,180500
2000-05-05,11.625000,12.000000,11.562500,11.937500,6.153692,240000
2000-05-08,11.875000,12.000000,11.750000,11.875000,6.121472,117900
2000-05-09,11.750000,11.875000,11.625000,11.812500,6.089259,87000
2000-05-10,11.750000,12.062500,11.562500,12.000000,6.185912,383700
2000-05-11,11.875000,12.062500,11.750000,12.000000,6.185912,404400
2000-05-12,12.000000,12.125000,11.937500,12.000000,6.185912,171600
2000-05-15,12.000000,12.750000,12.000000,12.625000,6.508092,227300
2000-05-16,12.500000,12.625000,12.125000,12.375000,6.379219,251500
2000-05-17,12.312500,12.437500,12.250000,12.375000,6.379219,195300
2000-05-18,12.250000,12.312500,11.937500,12.000000,6.185912,94500
2000-05-19,12.000000,12.250000,12.000000,12.125000,6.250347,334900
2000-05-22,12.062500,12.187500,11.812500,11.812500,6.089259,522400
2000-05-23,11.750000,11.875000,11.375000,11.625000,5.992602,258000
2000-05-24,11.500000,11.562500,11.250000,11.375000,5.863729,209300
2000-05-25,11.250000,11.500000,11.250000,11.437500,5.895945,526000
2000-05-26,11.437500,11.875000,11.375000,11.875000,6.121472,159000
2000-05-30,11.500000,11.687500,11.250000,11.687500,6.024821,217400
2000-05-31,11.562500,11.750000,11.500000,11.500000,5.928165,204900
2000-06-01,11.375000,11.750000,11.000000,11.250000,5.799291,359100
2000-06-02,11.250000,11.375000,11.000000,11.062500,5.702639,183500
2000-06-05,11.062500,11.375000,11.000000,11.125000,5.734853,102800
2000-06-06,11.125000,11.312500,11.125000,11.312500,5.831511,353700
2000-06-07,11.312500,11.375000,11.000000,11.250000,5.799291,303500
2000-06-08,11.187500,11.250000,11.062500,11.062500,5.702639,279300
2000-06-09,11.062500,11.375000,11.000000,11.250000,5.799291,136600
2000-06-12,11.125000,11.375000,11.000000,11.375000,5.863729,215100
2000-06-13,11.375000,11.500000,11.125000,11.500000,5.928165,128400
2000-06-14,11.500000,11.687500,11.312500,11.562500,5.960383,137200
2000-06-15,11.562500,11.812500,11.125000,11.250000,5.799291,140000
2000-06-16,11.125000,11.125000,10.687500,10.687500,5.509324,417700
2000-06-19,10.750000,11.125000,10.625000,11.000000,5.670418,178200
2000-06-20,10.812500,10.875000,10.125000,10.500000,5.412673,183500
2000-06-21,10.250000,11.000000,10.250000,11.000000,5.670418,122900
2000-06-22,10.875000,11.000000,10.250000,10.687500,5.509324,205200
2000-06-23,10.437500,10.625000,10.312500,10.500000,5.412673,69700
2000-06-26,10.375000,10.687500,10.250000,10.625000,5.477109,307100
2000-06-27,10.500000,11.000000,10.500000,11.000000,5.670418,203500
2000-06-28,10.875000,11.875000,10.812500,11.625000,5.992602,199200
2000-06-29,11.625000,12.375000,11.375000,12.125000,6.250347,292900
2000-06-30,12.250000,12.500000,10.125000,10.125000,5.219362,1202100
2000-07-03,10.875000,11.375000,10.875000,11.312500,5.831511,174800
2000-07-05,11.375000,11.375000,11.000000,11.250000,5.799291,161500
2000-07-06,11.125000,11.250000,10.875000,11.250000,5.799291,58700
2000-07-07,11.125000,11.250000,10.875000,11.125000,5.734853,82700
2000-07-10,11.125000,11.312500,11.000000,11.000000,5.670418,103000
2000-07-11,11.000000,11.312500,10.875000,11.250000,5.799291,206700
2000-07-12,11.250000,11.500000,11.250000,11.500000,5.928165,54300
2000-07-13,11.437500,11.875000,11.437500,11.687500,6.024821,146800
2000-07-14,11.625000,11.937500,11.562500,11.875000,6.121472,173100
2000-07-17,11.812500,12.000000,11.750000,11.937500,6.153692,148600
2000-07-18,11.875000,12.000000,11.812500,12.000000,6.185912,123100
2000-07-19,11.875000,11.875000,11.250000,11.500000,5.928165,143900
2000-07-20,11.750000,11.750000,11.562500,11.625000,5.992602,80600
2000-07-21,11.625000,11.875000,11.625000,11.625000,5.992602,118300
2000-07-24,11.500000,11.500000,11.000000,11.125000,5.734853,259700
2000-07-25,11.000000,11.187500,10.875000,10.875000,5.605982,32300
2000-07-26,10.875000,10.937500,10.750000,10.812500,5.573763,38800
2000-07-27,10.750000,11.000000,10.750000,10.875000,5.605982,195300
2000-07-28,10.812500,10.937500,10.750000,10.750000,5.541545,97900
2000-07-31,10.812500,11.375000,10.812500,11.375000,5.863729,55200
2000-08-01,11.250000,11.250000,10.812500,10.937500,5.638200,57000
2000-08-02,10.875000,11.000000,10.625000,11.000000,5.670418,105500
2000-08-03,11.000000,11.062500,10.625000,10.750000,5.541545,99200
2000-08-04,10.687500,10.937500,10.625000,10.937500,5.638200,40500
2000-08-07,10.875000,11.250000,10.750000,11.125000,5.734853,40400
2000-08-08,11.062500,11.187500,10.687500,10.687500,5.509324,52700
2000-08-09,10.687500,11.750000,10.625000,11.625000,5.992602,151500
2000-08-10,11.500000,11.500000,11.000000,11.000000,5.670418,68300
2000-08-11,10.875000,11.500000,10.875000,11.500000,5.928165,53900
2000-08-14,11.375000,11.750000,11.062500,11.437500,5.895945,92700
2000-08-15,11.500000,11.500000,11.125000,11.312500,5.831511,59000
