Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,3.929344,3.783813,3.812919,0.509415,51535
1980-03-18,0.000000,3.871131,3.783813,3.812919,0.509415,56259
1980-03-19,0.000000,3.842025,3.812919,3.812919,0.509415,42946
1980-03-20,0.000000,3.871131,3.725600,3.783813,0.505527,159330
1980-03-21,0.000000,3.842025,3.725600,3.725600,0.497749,69573
1980-03-24,0.000000,3.667388,3.376325,3.434538,0.458863,133562
1980-03-25,0.000000,3.463644,3.434538,3.463644,0.462751,182091
1980-03-26,0.000000,3.492750,3.434538,3.492750,0.466640,178226
1980-03-27,0.000000,3.492750,3.376325,3.434538,0.458863,125832
1980-03-28,0.000000,3.463644,3.405431,3.463644,0.462751,106936
1980-03-31,0.000000,3.463644,3.376325,3.434538,0.458863,403264
1980-04-01,0.000000,3.463644,3.405431,3.434538,0.458863,394245
1980-04-02,0.000000,3.638281,3.405431,3.638281,0.486083,1295684
1980-04-03,0.000000,3.696494,3.638281,3.638281,0.486083,222031
1980-04-07,0.000000,3.725600,3.638281,3.696494,0.493861,136139
1980-04-08,0.000000,3.812919,3.667388,3.783813,0.505527,143440
1980-04-09,0.000000,4.045769,3.842025,4.016663,0.536636,380502
1980-04-10,0.000000,4.191300,4.074875,4.191300,0.559968,133562
1980-04-11,0.000000,4.365938,4.103981,4.278619,0.571634,215160
1980-04-14,0.000000,4.249513,4.133088,4.162194,0.556079,89328
1980-04-15,0.000000,4.162194,4.074875,4.103981,0.548302,75585
1980-04-16,0.000000,4.278619,4.133088,4.220406,0.563856,312648
1980-04-17,0.000000,4.278619,4.191300,4.220406,0.563856,112948
1980-04-18,0.000000,4.336831,4.220406,4.307725,0.575522,82457
1980-04-21,0.000000,4.365938,4.307725,4.336831,0.579411,82027
1980-04-22,0.000000,4.395044,4.307725,4.336831,0.579411,84174
1980-04-23,0.000000,4.511469,4.395044,4.453256,0.594966,140434
1980-04-24,0.000000,4.482363,4.395044,4.453256,0.594966,130127
1980-04-25,0.000000,4.453256,4.395044,4.424150,0.591077,69573
1980-04-28,0.000000,4.453256,4.365938,4.453256,0.594966,52824
1980-04-29,0.000000,4.453256,4.336831,4.395044,0.587189,57977
1980-04-30,0.000000,4.395044,4.307725,4.395044,0.587189,62272
1980-05-01,0.000000,4.395044,4.307725,4.336831,0.579411,39940
1980-05-02,0.000000,4.395044,4.307725,4.365938,0.583300,36504
1980-05-05,0.000000,4.424150,4.336831,4.424150,0.591077,53683
1980-05-06,0.000000,4.453256,4.365938,4.424150,0.591077,66137
1980-05-07,0.000000,4.482363,4.424150,4.453256,0.594966,85463
1980-05-08,0.000000,4.482363,4.424150,4.453256,0.594966,94481
1980-05-09,0.000000,4.482363,4.395044,4.424150,0.591077,61413
1980-05-12,0.000000,4.511469,4.424150,4.511469,0.602743,57118
1980-05-13,0.000000,4.540575,4.453256,4.453256,0.594966,74297
1980-05-14,0.000000,4.540575,4.453256,4.511469,0.602743,91475
1980-05-15,0.000000,4.540575,4.453256,4.540575,0.606632,132703
1980-05-16,0.000000,4.540575,4.453256,4.511469,0.602743,168778
1980-05-19,0.000000,4.569681,4.511469,4.569681,0.610520,201847
1980-05-20,0.000000,4.598788,4.540575,4.569681,0.610520,205282
1980-05-21,0.000000,4.569681,4.511469,4.569681,0.610520,114237
1980-05-22,0.000000,4.598788,4.511469,4.569681,0.610520,151600
1980-05-23,0.000000,4.627894,4.540575,4.598788,0.614409,115954
1980-05-27,0.000000,4.773425,4.598788,4.744319,0.633853,149023
1980-05-28,0.000000,4.773425,4.686106,4.744319,0.633853,82457
1980-05-29,0.000000,4.744319,4.686106,4.686106,0.626075,58407
1980-05-30,0.000000,4.715213,4.627894,4.686106,0.626075,66996
1980-06-02,0.000000,4.686106,4.598788,4.627894,0.618298,297187
1980-06-03,0.000000,4.627894,4.569681,4.627894,0.618298,105218
1980-06-04,0.000000,4.453256,4.395044,4.453256,0.594966,193687
1980-06-05,0.000000,4.482363,4.424150,4.453256,0.594966,55830
1980-06-06,0.000000,4.482363,4.424150,4.482363,0.598855,97488
1980-06-09,0.000000,4.511469,4.453256,4.482363,0.598855,53253
1980-06-10,0.000000,4.482363,4.453256,4.482363,0.598855,57977
1980-06-11,0.000000,4.511469,4.453256,4.511469,0.602743,61413
1980-06-12,0.000000,4.540575,4.482363,4.482363,0.598855,80739
1980-06-13,0.000000,4.627894,4.540575,4.598788,0.614409,95770
1980-06-16,0.000000,4.715213,4.598788,4.627894,0.618298,120679
1980-06-17,0.000000,4.686106,4.627894,4.657000,0.622186,69573
1980-06-18,0.000000,4.686106,4.627894,4.627894,0.618298,81168
1980-06-19,0.000000,4.686106,4.627894,4.657000,0.622186,66996
1980-06-20,0.000000,4.657000,4.598788,4.598788,0.614409,62701
1980-06-23,0.000000,4.657000,4.598788,4.598788,0.614409,79021
1980-06-24,0.000000,4.657000,4.598788,4.657000,0.622186,109942
1980-06-25,0.000000,4.657000,4.598788,4.598788,0.614409,73867
1980-06-26,0.000000,4.627894,4.540575,4.540575,0.606632,69573
1980-06-27,0.000000,4.627894,4.511469,4.569681,0.610520,138716
1980-06-30,0.000000,4.569681,4.482363,4.511469,0.602743,79880
1980-07-01,0.000000,4.482363,4.365938,4.395044,0.587189,193257
1980-07-02,0.000000,4.424150,4.365938,4.395044,0.587189,801374
1980-07-03,0.000000,4.395044,4.336831,4.365938,0.583300,143440
1980-07-07,0.000000,4.424150,4.336831,4.424150,0.591077,125403
1980-07-08,0.000000,4.424150,4.395044,4.424150,0.591077,76444
1980-07-09,0.000000,4.453256,4.395044,4.453256,0.594966,131415
1980-07-10,0.000000,4.424150,4.365938,4.424150,0.591077,98776
1980-07-11,0.000000,4.453256,4.395044,4.453256,0.594966,83745
1980-07-14,0.000000,4.453256,4.395044,4.424150,0.591077,99635
1980-07-15,0.000000,4.453256,4.395044,4.424150,0.591077,100923
1980-07-16,0.000000,4.453256,4.395044,4.453256,0.594966,112519
1980-07-17,0.000000,4.453256,4.424150,4.453256,0.594966,70861
1980-07-18,0.000000,4.482363,4.424150,4.453256,0.594966,94052
1980-07-21,0.000000,4.569681,4.453256,4.453256,0.594966,97488
1980-07-22,0.000000,4.569681,4.482363,4.540575,0.606632,266266
1980-07-23,0.000000,4.540575,4.482363,4.540575,0.606632,92764
1980-07-24,0.000000,4.569681,4.482363,4.569681,0.610520,96199
1980-07-25,0.000000,4.598788,4.540575,4.598788,0.614409,83315
1980-07-28,0.000000,4.627894,4.569681,4.598788,0.614409,75156
1980-07-29,0.000000,4.627894,4.540575,4.598788,0.614409,81168
1980-07-30,0.000000,4.627894,4.540575,4.569681,0.610520,75156
1980-07-31,0.000000,4.569681,4.511469,4.511469,0.602743,129697
1980-08-01,0.000000,4.540575,4.453256,4.482363,0.598855,210436
1980-08-04,0.000000,4.453256,4.395044,4.424150,0.591077,146446
1980-08-05,0.000000,4.424150,4.365938,4.395044,0.587189,98347
1980-08-06,0.000000,4.395044,4.336831,4.365938,0.583300,89757
1980-08-07,0.000000,4.395044,4.336831,4.365938,0.583300,85463
1980-08-08,0.000000,4.395044,4.365938,4.365938,0.583300,54542
1980-08-11,0.000000,4.395044,4.336831,4.336831,0.579411,70002
1980-08-12,0.000000,4.395044,4.336831,4.365938,0.583300,62701
1980-08-13,0.000000,4.424150,4.336831,4.365938,0.583300,54971
1980-08-14,0.000000,4.424150,4.336831,4.424150,0.591077,52824
1980-08-15,0.000000,4.424150,4.336831,4.395044,0.587189,94481
1980-08-18,0.000000,4.424150,4.365938,4.424150,0.591077,68284
1980-08-19,0.000000,4.424150,4.365938,4.424150,0.591077,90616
1980-08-20,0.000000,4.424150,4.365938,4.365938,0.583300,72579
1980-08-21,0.000000,4.395044,4.336831,4.365938,0.583300,110371
1980-08-22,0.000000,4.424150,4.365938,4.424150,0.591077,55400
1980-08-25,0.000000,4.424150,4.365938,4.365938,0.583300,52824
1980-08-26,0.000000,4.453256,4.365938,4.395044,0.587189,256388
1980-08-27,0.000000,4.453256,4.395044,4.424150,0.591077,59266
1980-08-28,0.000000,4.453256,4.424150,4.424150,0.591077,53683
1980-08-29,0.000000,4.482363,4.424150,4.424150,0.591077,80309
1980-09-02,0.000000,4.482363,4.424150,4.453256,0.594966,38651
1980-09-03,0.000000,4.569681,4.482363,4.540575,0.606632,467683
1980-09-04,0.000000,4.511469,4.424150,4.424150,0.591077,133562
1980-09-05,0.000000,4.482363,4.395044,4.395044,0.587189,84174
1980-09-08,0.000000,4.424150,4.395044,4.424150,0.591077,55830
1980-09-09,0.000000,4.424150,4.365938,4.365938,0.583300,262830
1980-09-10,0.000000,4.395044,4.336831,4.395044,0.587189,58836
1980-09-11,0.000000,4.395044,4.336831,4.336831,0.579411,55830
1980-09-12,0.000000,4.365938,4.307725,4.307725,0.575522,63990
1980-09-15,0.000000,4.336831,4.278619,4.336831,0.579411,63131
1980-09-16,0.000000,4.365938,4.307725,4.307725,0.575522,100494
1980-09-17,0.000000,4.336831,4.249513,4.249513,0.567745,61413
1980-09-18,0.000000,4.307725,4.220406,4.278619,0.571634,336268
1980-09-19,0.000000,4.278619,4.220406,4.220406,0.563856,71720
1980-09-22,0.000000,4.249513,4.162194,4.191300,0.559968,93623
1980-09-23,0.000000,4.191300,4.103981,4.103981,0.548302,119390
1980-09-24,0.000000,4.133088,4.074875,4.074875,0.544413,59695
1980-09-25,0.000000,4.103981,4.045769,4.045769,0.540525,113378
