Date,Open,High,Low,Close,Adj Close,Volume
1993-04-28,9.125000,9.375000,9.000000,9.125000,5.865183,7821000
1993-04-29,9.125000,9.312500,9.125000,9.312500,5.985701,2118800
1993-04-30,9.375000,9.375000,9.125000,9.187500,5.905356,536800
1993-05-03,9.125000,9.187500,9.062500,9.187500,5.905356,509600
1993-05-04,9.187500,9.187500,8.937500,9.062500,5.825010,787400
1993-05-05,9.000000,9.062500,8.875000,8.875000,5.704490,747200
1993-05-06,8.937500,9.000000,8.812500,8.812500,5.664319,392800
1993-05-07,8.875000,8.937500,8.812500,8.875000,5.704490,180000
1993-05-10,8.937500,9.062500,8.875000,8.875000,5.704490,269600
1993-05-11,8.937500,8.937500,8.875000,8.937500,5.744661,109400
1993-05-12,8.875000,8.875000,8.687500,8.812500,5.664319,110800
1993-05-13,8.812500,8.812500,8.750000,8.750000,5.624147,171000
1993-05-14,8.750000,8.875000,8.750000,8.750000,5.624147,166800
1993-05-17,8.750000,8.750000,8.562500,8.625000,5.543801,132000
1993-05-18,8.625000,8.625000,8.000000,8.250000,5.302767,534400
1993-05-19,8.375000,8.562500,8.375000,8.437500,5.423283,203600
1993-05-20,8.312500,8.375000,7.937500,8.125000,5.222421,1189000
1993-05-21,8.187500,8.250000,8.000000,8.187500,5.262594,475600
1993-05-24,8.250000,8.250000,8.000000,8.125000,5.222421,719200
1993-05-25,8.000000,8.062500,7.812500,7.937500,5.101906,326600
1993-05-26,8.000000,8.312500,8.000000,8.250000,5.302767,209200
1993-05-27,8.375000,8.562500,8.250000,8.500000,5.463458,307800
1993-05-28,8.625000,8.812500,8.437500,8.687500,5.583976,986400
1993-06-01,8.750000,8.750000,8.437500,8.500000,5.463458,116800
1993-06-02,8.500000,8.687500,8.437500,8.687500,5.583976,205200
1993-06-03,8.687500,8.687500,8.500000,8.500000,5.463458,92000
1993-06-04,8.562500,8.625000,8.500000,8.562500,5.503630,118200
1993-06-07,8.500000,8.687500,8.500000,8.625000,5.543801,60000
1993-06-08,8.625000,8.625000,8.500000,8.562500,5.503630,298200
1993-06-09,8.562500,8.562500,8.437500,8.437500,5.423283,27400
1993-06-10,8.437500,8.625000,8.437500,8.562500,5.503630,153600
1993-06-11,8.687500,8.812500,8.562500,8.812500,5.664319,84200
1993-06-14,8.937500,9.000000,8.750000,8.937500,5.744661,434000
1993-06-15,8.875000,9.125000,8.812500,8.875000,5.704490,169600
1993-06-16,8.875000,9.062500,8.875000,8.937500,5.744661,288200
1993-06-17,9.000000,9.000000,8.812500,8.937500,5.744661,165400
1993-06-18,8.937500,9.000000,8.812500,8.875000,5.704490,89400
1993-06-21,8.812500,8.937500,8.812500,8.875000,5.704490,34200
1993-06-22,8.937500,9.062500,8.812500,8.875000,5.704490,143000
1993-06-23,8.875000,9.000000,8.750000,8.750000,5.624147,23600
1993-06-24,8.750000,9.000000,8.750000,8.812500,5.664319,58200
1993-06-25,8.812500,9.250000,8.812500,9.187500,5.905356,370000
1993-06-28,9.187500,9.625000,9.062500,9.562500,6.146390,135200
1993-06-29,9.750000,9.750000,9.437500,9.500000,6.106217,575600
1993-06-30,9.500000,9.500000,9.375000,9.500000,6.106217,132000
1993-07-01,9.500000,9.625000,9.437500,9.625000,6.186561,120800
1993-07-02,9.625000,9.750000,9.500000,9.500000,6.106217,239400
1993-07-06,9.500000,9.625000,9.312500,9.312500,5.985701,87200
1993-07-07,9.375000,9.375000,9.187500,9.250000,5.945526,74400
1993-07-08,9.312500,9.562500,9.250000,9.500000,6.106217,104000
1993-07-09,9.500000,9.562500,9.437500,9.500000,6.106217,302600
1993-07-12,9.562500,9.562500,9.437500,9.500000,6.106217,98200
1993-07-13,9.500000,9.562500,9.437500,9.500000,6.106217,212400
1993-07-14,9.500000,9.750000,9.500000,9.750000,6.266909,153200
1993-07-15,9.750000,9.750000,9.687500,9.750000,6.266909,133800
1993-07-16,9.750000,9.750000,9.625000,9.750000,6.266909,126000
1993-07-19,9.687500,9.812500,9.687500,9.750000,6.266909,244800
1993-07-20,9.750000,9.750000,9.687500,9.750000,6.266909,111000
1993-07-21,9.812500,9.937500,9.750000,9.937500,6.387424,117400
1993-07-22,9.937500,10.125000,9.937500,10.062500,6.467770,240600
1993-07-23,10.062500,10.125000,9.875000,9.875000,6.347253,138200
1993-07-26,9.875000,10.062500,9.750000,10.062500,6.467770,236200
1993-07-27,10.125000,10.312500,10.125000,10.250000,6.588287,259200
1993-07-28,10.750000,11.187500,10.687500,11.062500,7.110527,583200
1993-07-29,11.187500,11.687500,11.125000,11.437500,7.351570,344800
1993-07-30,11.500000,11.687500,11.437500,11.687500,7.512254,217800
1993-08-02,11.687500,11.875000,11.625000,11.625000,7.472081,511400
1993-08-03,11.625000,11.625000,11.125000,11.500000,7.391737,161000
1993-08-04,11.375000,11.875000,11.375000,11.812500,7.592598,129200
1993-08-05,11.875000,12.312500,11.875000,12.187500,7.833632,270200
1993-08-06,12.062500,12.125000,11.875000,11.937500,7.672940,397600
1993-08-09,11.937500,12.062500,11.875000,12.000000,7.713115,148200
1993-08-10,12.000000,12.000000,11.625000,11.687500,7.512254,104000
1993-08-11,11.687500,11.875000,11.687500,11.750000,7.552426,77400
1993-08-12,11.750000,11.750000,11.437500,11.750000,7.552426,64000
1993-08-13,11.750000,11.750000,11.562500,11.687500,7.512254,17600
1993-08-16,11.687500,11.750000,11.500000,11.750000,7.552426,119600
1993-08-17,11.625000,11.937500,11.625000,11.937500,7.672940,82800
1993-08-18,12.000000,12.250000,12.000000,12.000000,7.713115,98800
1993-08-19,12.000000,12.125000,11.812500,12.125000,7.793462,96600
1993-08-20,12.000000,12.062500,11.812500,12.000000,7.713115,43600
1993-08-23,11.937500,12.000000,11.875000,12.000000,7.713115,280200
1993-08-24,12.000000,12.187500,12.000000,12.062500,7.753286,279000
1993-08-25,12.062500,12.312500,12.062500,12.312500,7.913977,97600
1993-08-26,12.187500,12.187500,11.937500,12.000000,7.769912,258600
1993-08-27,12.062500,12.062500,11.437500,11.562500,7.486636,315800
1993-08-30,11.500000,11.812500,11.500000,11.812500,7.648512,31600
1993-08-31,11.875000,11.937500,11.812500,11.875000,7.688975,58600
1993-09-01,11.875000,12.125000,11.750000,12.062500,7.810383,104000
1993-09-02,12.062500,12.437500,12.062500,12.437500,8.053189,174600
1993-09-03,12.437500,12.500000,12.187500,12.250000,7.931786,349000
1993-09-07,12.062500,12.250000,12.062500,12.187500,7.891315,86200
