Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,3.359375,3.312500,3.343750,1.637180,87200
1973-02-22,0.000000,3.375000,3.312500,3.359375,1.644830,53600
1973-02-23,0.000000,3.375000,3.343750,3.343750,1.637180,35200
1973-02-26,0.000000,3.328125,3.312500,3.312500,1.621879,37600
1973-02-27,0.000000,3.328125,3.296875,3.312500,1.621879,37600
1973-02-28,0.000000,3.296875,3.265625,3.265625,1.598929,60800
1973-03-01,0.000000,3.296875,3.250000,3.265625,1.598929,37600
1973-03-02,0.000000,3.281250,3.265625,3.265625,1.598929,45600
1973-03-05,0.000000,3.312500,3.265625,3.296875,1.614230,64800
1973-03-06,0.000000,3.312500,3.265625,3.296875,1.614230,34400
1973-03-07,0.000000,3.328125,3.265625,3.328125,1.629529,63200
1973-03-08,0.000000,3.343750,3.265625,3.281250,1.606580,92800
1973-03-09,0.000000,3.328125,3.265625,3.265625,1.598929,428000
1973-03-12,0.000000,3.218750,3.187500,3.187500,1.575147,32800
1973-03-13,0.000000,3.203125,3.156250,3.203125,1.582868,71200
1973-03-14,0.000000,3.171875,3.109375,3.109375,1.536541,60000
1973-03-15,0.000000,3.109375,3.000000,3.000000,1.482491,86400
1973-03-16,0.000000,3.031250,2.984375,3.000000,1.482491,78400
1973-03-19,0.000000,3.000000,2.984375,3.000000,1.482491,36800
1973-03-20,0.000000,3.062500,2.984375,3.031250,1.497933,136000
1973-03-21,0.000000,3.031250,2.984375,2.984375,1.474770,22400
1973-03-22,0.000000,2.984375,2.828125,2.906250,1.436163,220800
1973-03-23,0.000000,2.843750,2.750000,2.781250,1.374393,256000
1973-03-26,0.000000,2.828125,2.671875,2.734375,1.351229,91200
1973-03-27,0.000000,3.171875,2.843750,2.890625,1.428442,139200
1973-03-28,0.000000,3.000000,2.937500,3.000000,1.482491,87200
1973-03-29,0.000000,3.093750,2.953125,3.093750,1.528819,102400
1973-03-30,0.000000,3.093750,2.984375,3.031250,1.497933,69600
1973-04-02,0.000000,3.062500,2.968750,3.062500,1.513377,40800
1973-04-03,0.000000,3.062500,3.046875,3.062500,1.513377,52000
1973-04-04,0.000000,3.312500,3.031250,3.031250,1.497933,40800
1973-04-05,0.000000,3.015625,2.984375,3.000000,1.482491,113600
1973-04-06,0.000000,2.984375,2.937500,2.937500,1.451606,48800
1973-04-09,0.000000,2.890625,2.828125,2.859375,1.413000,54400
1973-04-10,0.000000,2.890625,2.828125,2.828125,1.397557,63200
1973-04-11,0.000000,2.843750,2.812500,2.812500,1.389834,44000
1973-04-12,0.000000,2.843750,2.781250,2.828125,1.397557,106400
1973-04-13,0.000000,2.859375,2.781250,2.812500,1.389834,69600
1973-04-16,0.000000,2.828125,2.750000,2.828125,1.397557,48800
1973-04-17,0.000000,2.890625,2.765625,2.875000,1.420721,80000
1973-04-18,0.000000,2.953125,2.859375,2.953125,1.459327,34400
1973-04-19,0.000000,3.046875,2.968750,2.968750,1.467049,106400
1973-04-23,0.000000,2.984375,2.953125,2.968750,1.467049,43200
1973-04-24,0.000000,3.015625,2.953125,2.953125,1.459327,85600
1973-04-25,0.000000,2.937500,2.734375,2.734375,1.351229,151200
1973-04-26,0.000000,2.734375,2.671875,2.671875,1.320344,156800
1973-04-27,0.000000,2.671875,2.562500,2.562500,1.266294,69600
1973-04-30,0.000000,2.609375,2.500000,2.546875,1.258574,243200
1973-05-01,0.000000,2.593750,2.531250,2.593750,1.281737,109600
1973-05-02,0.000000,2.703125,2.640625,2.687500,1.328064,97600
1973-05-03,0.000000,2.796875,2.656250,2.765625,1.366671,196000
1973-05-04,0.000000,2.812500,2.765625,2.812500,1.389834,106400
1973-05-07,0.000000,2.828125,2.796875,2.796875,1.382114,161600
1973-05-08,0.000000,2.828125,2.796875,2.812500,1.389834,87200
1973-05-09,0.000000,2.843750,2.828125,2.828125,1.397557,68000
1973-05-10,0.000000,2.937500,2.828125,2.921875,1.443885,145600
1973-05-11,0.000000,2.921875,2.906250,2.921875,1.443885,42400
1973-05-14,0.000000,2.890625,2.859375,2.859375,1.413000,69600
1973-05-15,0.000000,2.843750,2.765625,2.843750,1.405277,116000
1973-05-16,0.000000,2.859375,2.781250,2.812500,1.389834,96800
1973-05-17,0.000000,2.796875,2.734375,2.734375,1.351229,48000
1973-05-18,0.000000,2.734375,2.671875,2.687500,1.328064,28000
1973-05-21,0.000000,2.640625,2.484375,2.484375,1.227688,148800
1973-05-22,0.000000,2.609375,2.484375,2.578125,1.274016,82400
1973-05-23,0.000000,2.640625,2.578125,2.625000,1.297180,146400
1973-05-24,0.000000,2.703125,2.593750,2.671875,1.320344,65600
1973-05-25,0.000000,2.750000,2.687500,2.750000,1.358950,70400
1973-05-29,0.000000,2.734375,2.671875,2.703125,1.335786,69600
1973-05-30,0.000000,2.734375,2.656250,2.656250,1.312623,67200
1973-05-31,0.000000,2.640625,2.578125,2.578125,1.274016,43200
1973-06-01,0.000000,2.546875,2.515625,2.515625,1.243131,44000
1973-06-04,0.000000,2.500000,2.390625,2.390625,1.181360,126400
1973-06-05,0.000000,2.453125,2.390625,2.453125,1.212246,90400
1973-06-06,0.000000,2.453125,2.375000,2.406250,1.189081,37600
1973-06-07,0.000000,2.406250,2.375000,2.390625,1.181360,58400
1973-06-08,0.000000,2.421875,2.375000,2.421875,1.196803,92800
1973-06-11,0.000000,2.421875,2.375000,2.375000,1.173639,110400
1973-06-12,0.000000,2.437500,2.312500,2.437500,1.204524,147200
1973-06-13,0.000000,2.468750,2.421875,2.437500,1.204524,156800
1973-06-14,0.000000,2.484375,2.390625,2.406250,1.189081,175200
1973-06-15,0.000000,2.421875,2.375000,2.375000,1.173639,80800
1973-06-18,0.000000,2.390625,2.296875,2.312500,1.142754,59200
1973-06-19,0.000000,2.328125,2.265625,2.312500,1.142754,92800
1973-06-20,0.000000,2.421875,2.328125,2.375000,1.173639,52000
1973-06-21,0.000000,2.406250,2.359375,2.359375,1.165918,72000
1973-06-22,0.000000,2.421875,2.312500,2.359375,1.165918,277600
1973-06-25,0.000000,2.343750,2.312500,2.312500,1.142754,43200
1973-06-26,0.000000,2.296875,2.265625,2.296875,1.135032,58400
1973-06-27,0.000000,2.296875,2.250000,2.281250,1.127311,755200
1973-06-28,0.000000,2.296875,2.265625,2.265625,1.119590,516000
1973-06-29,0.000000,2.250000,2.171875,2.187500,1.080983,200800
1973-07-02,0.000000,2.156250,2.062500,2.125000,1.050098,173600
1973-07-03,0.000000,2.125000,2.109375,2.125000,1.050098,62400
1973-07-05,0.000000,2.125000,2.109375,2.125000,1.050098,59200
1973-07-06,0.000000,2.140625,2.109375,2.125000,1.050098,107200
1973-07-09,0.000000,2.218750,2.125000,2.218750,1.096426,129600
1973-07-10,0.000000,2.312500,2.234375,2.250000,1.111869,103200
1973-07-11,0.000000,2.593750,2.281250,2.593750,1.281737,236800
1973-07-12,0.000000,2.500000,2.390625,2.437500,1.204524,164800
1973-07-13,0.000000,2.500000,2.453125,2.468750,1.219966,84800
1973-07-16,0.000000,2.546875,2.453125,2.531250,1.250852,92000
1973-07-17,0.000000,2.562500,2.531250,2.562500,1.266294,52000
1973-07-18,0.000000,2.593750,2.546875,2.562500,1.266294,52000
1973-07-19,0.000000,2.609375,2.531250,2.578125,1.274016,191200
1973-07-20,0.000000,2.656250,2.609375,2.609375,1.289458,55200
1973-07-23,0.000000,2.656250,2.609375,2.625000,1.297180,55200
1973-07-24,0.000000,2.656250,2.593750,2.656250,1.312623,69600
1973-07-25,0.000000,2.734375,2.625000,2.703125,1.335786,240800
1973-07-26,0.000000,2.781250,2.687500,2.750000,1.358950,79200
1973-07-27,0.000000,2.781250,2.703125,2.718750,1.343507,40800
1973-07-30,0.000000,2.765625,2.718750,2.765625,1.366671,56800
1973-07-31,0.000000,2.812500,2.734375,2.750000,1.358950,110400
1973-08-01,0.000000,2.703125,2.640625,2.640625,1.304901,43200
1973-08-02,0.000000,2.703125,2.609375,2.703125,1.335786,70400
1973-08-03,0.000000,2.734375,2.671875,2.734375,1.351229,67200
1973-08-06,0.000000,2.734375,2.687500,2.703125,1.335786,52000
1973-08-07,0.000000,2.687500,2.515625,2.515625,1.243131,63200
1973-08-08,0.000000,2.500000,2.406250,2.406250,1.189081,38400
1973-08-09,0.000000,2.453125,2.375000,2.406250,1.189081,233600
1973-08-10,0.000000,2.484375,2.390625,2.484375,1.227688,36800
1973-08-13,0.000000,2.484375,2.375000,2.375000,1.173639,40000
1973-08-14,0.000000,2.359375,2.281250,2.281250,1.127311,114400
1973-08-15,0.000000,2.359375,2.265625,2.328125,1.150475,45600
1973-08-16,0.000000,2.406250,2.328125,2.375000,1.173639,60800
1973-08-17,0.000000,2.421875,2.359375,2.390625,1.181360,31200
1973-08-20,0.000000,2.437500,2.359375,2.359375,1.165918,52000
1973-08-21,0.000000,2.421875,2.359375,2.375000,1.173639,47200
1973-08-22,0.000000,2.375000,2.343750,2.375000,1.173639,19200
1973-08-23,0.000000,2.437500,2.375000,2.390625,1.181360,43200
1973-08-24,0.000000,2.500000,2.390625,2.484375,1.227688,75200
1973-08-27,0.000000,2.500000,2.468750,2.468750,1.219966,45600
1973-08-28,0.000000,2.515625,2.453125,2.468750,1.219966,137600
1973-08-29,0.000000,2.609375,2.468750,2.578125,1.274016,96000
1973-08-30,0.000000,2.718750,2.593750,2.687500,1.328064,86400
1973-08-31,0.000000,2.718750,2.640625,2.718750,1.343507,40800
1973-09-04,0.000000,2.734375,2.703125,2.718750,1.343507,60800
1973-09-05,0.000000,2.765625,2.703125,2.718750,1.343507,240000
